//以下全部内容出自网络和大佬整合，相关文件交流学习使用，禁止买卖商用，请在8小时内删除所有相关文件。[所有内容仅供学习使用，请勿用于违法用途]
//本聚合源无公众号、无盈利，无引流、免费分享交流学习使用，请勿轻信任何人，谨防上当受骗，如果不慎受骗购买请立刻退款+举报+差评，大爱中国。
//如果要生成直链调用接口，请到正规开源平台生成，务必不要大规模扩散，务必不要商用，支持正版拒绝盗版，遵守法律学习原则，合法学习使用。



嵘基直播,#genre#

25.09.25,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/KbOBtLNM
免费使用,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/v2OBjLjX
禁止商用,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/olOBlVzR
禁止买卖,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/WoOBS8ka
广告误信,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/2EOdYxGS
广告误开,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/t2OdYpQw
2K_50FPS,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/xUOBuTRT
4K_50FPS,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/RDOBuEOJ
720P_30FPS,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/xKOBu5zn
1080P_30FPS,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/KbOBtLNM
识别电信诈骗,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/2EOdYxGS
防电信诈骗宣传,https://lz.qaiu.top/parser?url=https://share.feijipan.com/s/t2OdYpQw
3D-1视觉效果,https://vd3.bdstatic.com/mda-mfnc43q5ngnzua6p/sc/cae_h264/1624437508830556235/mda-mfnc43q5ngnzua6p.mp4
3D-2视觉效果,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4
3D-3视觉效果,https://vd4.bdstatic.com/mda-mdfijn4crxseyky0/1080p/cae_h264/1618549960/mda-mdfijn4crxseyky0.mp4
3D-4视觉效果,https://vd2.bdstatic.com/mda-kmtfv6y5gctpa35w/sc/mda-kmtfv6y5gctpa35w.mp4
3D-5视觉效果,https://vd3.bdstatic.com/mda-kksk814vwc1m06av/sc/mda-kksk814vwc1m06av.mp4



央卫工学,#genre#

CCTV-1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】
CCTV-1,http://web9916.w.computerqwq.cf/jzb.php?id=cctv1&公众号【医工学习日志】
CCTV-2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV-2,http://web9916.w.computerqwq.cf/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV-3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV-3,http://web9916.w.computerqwq.cf/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV-4,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV-4,http://web9916.w.computerqwq.cf/jzb.php?id=cctv4&公众号【医工学习日志】
CCTV-5,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV-5,http://web9916.w.computerqwq.cf/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV-6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV-6,http://web9916.w.computerqwq.cf/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV-7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV-7,http://web9916.w.computerqwq.cf/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV-8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV-8,http://web9916.w.computerqwq.cf/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】
CCTV-9,http://web9916.w.computerqwq.cf/jzb.php?id=cctv9&公众号【医工学习日志】
CCTV-10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】
